City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,badvel,14.75,79.05,27.61,64,92,1.16,IN,1682783044
349,padangsidempuan,1.3667,99.2667,22.7,97,100,0.67,ID,1682783044
350,pedro ii,-4.4247,-41.4586,27.65,66,97,2.45,BR,1682783045
351,sault ste. marie,46.5168,-84.3333,10.31,88,100,4.63,CA,1682783046
352,bonthe,7.5264,-12.505,30.16,67,58,4.77,SL,1682783046
353,pemba,-12.974,40.5178,26.93,75,96,6.86,MZ,1682783047
354,kruisfontein,-34.0033,24.7314,18.27,70,66,7.74,ZA,1682783047
355,taltal,-25.4,-70.4833,19.49,70,1,3.0,CL,1682783048
356,susuman,62.7833,148.1667,-12.66,98,72,0.83,RU,1682783049
357,papao,-17.75,-149.55,24.82,80,83,6.25,PF,1682783049
358,archangelos,36.2149,28.1149,17.99,50,51,8.52,GR,1682783050
359,iwaki,37.05,140.8833,18.4,93,100,6.65,JP,1682783050
360,vernon,50.2581,-119.2691,18.39,45,91,2.57,CA,1682783051
361,kabinda,-6.1333,24.4833,21.18,89,74,1.99,CD,1682783052
